original_Entity,predicted_Entity,Input Query
<no_ent>,<no_ent>,iceland surprised everyone at the world cup when they defended messi's penalty
<no_ent>,<no_ent>,<eou> yes iceland did well that day. <eou> what can iceland do to improve their attack? they defended absolutely phenomenal.
<no_ent>,<no_ent>,their offensive players to attack more and try to take the ball more often. <eou> who is iceland's best player?
iceland,<no_ent>,often. <eou> who is iceland's best player? <eou> gylfi sigursson is in my opinion <eou> who plays as their goalkeeper?
<no_ent>,<no_ent>,who is number 11 on senegal?
<no_ent>,<no_ent>,who is number 11 on senegal? <eou> 32-year-old midfielder cheikh n'doye. <eou> who is the senegal team captain?
<no_ent>,<no_ent>,is the senegal team captain? <eou> will senegal win the african nations? <eou> no but they should do quite well
<no_ent>,<no_ent>,win the african nations? <eou> no but they should do quite well <eou> who is senegal's coach? <eou> aliou cissé.
<no_ent>,<no_ent>,is senegal's coach? <eou> aliou cissé. <eou> do senegal have many players in europe? <eou> senegal is not in europe
<no_ent>,<no_ent>,were they in the world cup?
<no_ent>,<no_ent>,"world cup? <eou> yes, nigeria made it to the world cup this year. <eou> did nigeria win the world cup?"
<no_ent>,<no_ent>,"cup, the lost in the group stages. <eou> did you like there world cup kit? it sold out in seconds."
<no_ent>,<no_ent>,"really liked it, the colors went well together, it was very eye catching. <eou> what are the colors for nigeria?"
<no_ent>,<no_ent>,are the colors for nigeria? <eou> nigeria's main color is green. <eou> who is the best player of nigeria team?
<no_ent>,<no_ent>,how did you like the fifa world cup 2018?
<no_ent>,<no_ent>,the teams were not what everyone expected this year. <eou> who scored the most goals at this years world cup?
<no_ent>,<no_ent>,year. <eou> who scored the most goals at this years world cup? <eou> barcelona <eou> lionel messi will miss u
<no_ent>,<no_ent>,<eou> lionel messi will miss u <eou> who is the best team <eou> i think france is the best team
<no_ent>,<no_ent>,is the best team <eou> france in the best team <eou> france is good but could they have been better?
<no_ent>,<no_ent>,what has been your best games this season?
<no_ent>,<no_ent>,"best games this season? <eou> i haven't, personally, played any games this year. <eou> i don't really follow psg much."
<no_ent>,<no_ent>,"of a media presence to not follow. <eou> i do not agree with them, paris sg is a great team"
<no_ent>,<no_ent>,them such a great team? <eou> paris sg spent too much money on neymar. watch neymar leave psg next year.
<no_ent>,<no_ent>,"paris sg, he would probably end up at real madrid. <eou> there is no way paris sg will allow that."
<no_ent>,<no_ent>,do you think this team will qualify for the next world cup?
<no_ent>,<no_ent>,i think they will <eou> it will be tough for them though with the teams they have in their group
<no_ent>,<no_ent>,is always an underdog and it sometimes hurts their mentality. <eou> iceland will be better for the next world cup
<no_ent>,<no_ent>,will be better for the next world cup <eou> will iceland qualify for the euro? <eou> i think they will
<no_ent>,<no_ent>,<eou> will iceland qualify for the euro? <eou> i think they will <eou> if they breathe it <eou> breathe what?
<no_ent>,<no_ent>,like this team
<no_ent>,<no_ent>,is a very well performing team and i like them a lot as well. <eou> who is their best player?
<no_ent>,<no_ent>,<eou> who is their best player? <eou> jon obi mikkel <eou> will nigeria make it to the next world cup?
<no_ent>,<no_ent>,cup? <eou> when was nigeria in the world cup last? <eou> nigeria's most recent world cup appearance was in 2018.
<no_ent>,<no_ent>,<eou> how did they do in their last world cup appearance? <eou> is this nigeria team is the best team
<no_ent>,<no_ent>,how many injuries did the chelsea team suffer?
<no_ent>,<no_ent>,"did the chelsea team suffer? <eou> like, a billion. <eou> and how many of those injuries were in the head?"
<no_ent>,<no_ent>,of those injuries were in the head? <eou> what about chelsea? <eou> will chelsea win the premier league this year?
chelsea,<no_ent>,league this year? <eou> i do not think so because manchester city is very strong. <eou> who is chelsea's coach?
<no_ent>,<no_ent>,because manchester city is very strong. <eou> who is chelsea's coach? <eou> maurizio sarri <eou> chelsea is the best team?
<no_ent>,<no_ent>,what colour are real madrid playing in now?
<no_ent>,<no_ent>,real madrid playing in now? <eou> they have a very white uniform. <eou> when did they last change their uniform?
<no_ent>,<no_ent>,<eou> they have a very white uniform and they have a very black uniform <eou> what is their stadium called?
<no_ent>,<no_ent>,stadium called? <eou> their home stadium is called the bernabeu. <eou> how many people fit in the real madrid stadium?
<no_ent>,<no_ent>,its pitch measures 106 x 70 metres <eou> how many fans on average came to the home games last year?
<no_ent>,<no_ent>,what does bvb stand for?
<no_ent>,<no_ent>,what does bvb stand for? <eou> ballspielverein borussia 09 e.v. dortmund <eou> is that in german?
<no_ent>,<no_ent>,"in german? <eou> yes it is, of course. <eou> but does bvb dortmund have any german players on the team?"
<no_ent>,<no_ent>,"are german, which is one of the lowest ratios in the bundesliga. <eou> what other ethnicity does bvb dortmund have?"
<no_ent>,<no_ent>,"dortmund have? <eou> loads, bvb dortmund represent many nations and backgrounds. <eou> is the best player for bvb dortmund german?"
<no_ent>,<no_ent>,i like the team portugal
<no_ent>,<no_ent>,i like the team portugal <eou> i dont care for any south american teams. <eou> do you like football?
<no_ent>,<no_ent>,"you like football? <eou> yes, if i like soccer <eou> i enjoy football although i love more of other content"
<no_ent>,<no_ent>,although i love more of other content <eou> portugal plays in europe not south america... <eou> who is portugal's goalie?
<no_ent>,<no_ent>,plays in europe not south america... <eou> who is portugal's goalie? <eou> rui patricio <eou> how old is rui patricio?
<no_ent>,<no_ent>,i love juventus
<no_ent>,<no_ent>,"i love juventus <eou> me too <eou> what is so special about them, particularly?"
<no_ent>,<no_ent>,"<eou> what is so special about them, particularly? <eou> they have many talented players <eou> what is their strongest point?"
<no_ent>,<no_ent>,i honestly do like this team
<no_ent>,<no_ent>,"team <eou> what about senegal makes you like them? <eou> i like their nickname, the lions of teranga, do you?"
<no_ent>,<no_ent>,"you? <eou> yes and i like your player mane <eou> they have always had great players, drogba and now mane."
<no_ent>,<no_ent>,"had great players, drogba and now mane. <eou> me too <eou> derogatory never played for senegal he was ivory coast"
<no_ent>,<no_ent>,he was ivory coast <eou> derogatory is a good player <eou> who is senegal's best current player not including mane?
<no_ent>,<no_ent>,i admire juventus
<no_ent>,<no_ent>,xxx the first to be broadcast in? a: navaj <eou> what are juventus' chances to win the scudetto this year?
<no_ent>,<no_ent>,win the scudetto this year? <eou> cristiano ronald and juventus are still favored <eou> do you think they will win?
<no_ent>,<no_ent>,you think they will win? <eou> juventus will be really good this season <eou> juventus will be better than before
<no_ent>,<no_ent>,be better than before <eou> now that ronaldo has joined them <eou> what was juventus record of winning and losing?
<no_ent>,<no_ent>,i love switzerland
<no_ent>,<no_ent>,was sad to see them lose to sweden this past world cup. <eou> do you think they could have won?
<no_ent>,<no_ent>,could have won it no matter the draw they pulled. <eou> how do you think the switzerland team can improve?
<no_ent>,<no_ent>,their tactical and finishing skills <eou> do you think they'll be a more solid team for the next world cup?
switzerland,<no_ent>,"switzerland has now been to the finals, so yes they will be more prepared. <eou> who will be switzerland captain?"
<no_ent>,<no_ent>,mexico is going to win
<no_ent>,<no_ent>,"wish them luck. <eou> in which year did arsenal win their first fa cup final? 1928, 1930 or 1932? 1930"
