original_response_(S1),predicted_response_(S2),Grammatically_correctness_of_S2 (scale 1-5),Similarity_between_S1_and_S2_in_terms_of_meaning_and_provided_info (scale 1-5)
it was more than just one player the team effort is what counts,they are the the the,2,1
i think he would face liverpool,i think the the coach,2,1
roman burki was the starting goalie,i is,1,1
manchester united might win,they will have a chance,3,1
sport galleries,i think they will be a good,3,1
the best goal was the one that scored aubameyang,i is is the best,1,1
manchester city or liverpool this season,i think is the best,2,1
what stadium does arsenal play in \?,i think they will be a good,3,1
"no , because they are a club team",they did they have a win the world cup,5,1
2nd,they did not win the world cup,5,1
pierre emerick aubameyang,i think,2,1
they always finish fourth,i think is a team,1,1
64 goals,they won,5,1
their nickname is the red devils,i is is the,1,1
yes,"yes , they is the",1,1
who is their current manager \?,i think they are the,2,1
would they be significantly crippled without him though \?,i think they will be the,3,1
belgium,i think they,1,1
"yeah , he 's their top scorer and captain",i think they will be a good,2,1
lorenzo insigne,the current coach,4,1
alisson becker also plays for liverpool,i think,2,1
"yes , all coaches are well paid",i think the,2,1
i think that portugal would win tighly,i think they will be a good,3,1
mention the goalkeeper of brazil,i think is the best,1,1
what is italy 's couching staff like now \?,i think they,3,1
just not good enough to progress far in the world cup,i think is the best,1,1
i think portugal has the better players but mexico works better as a team,i think is the best,1,1
i'm sure it 's a lot of time,i think,3,1
if he is the current chelsea coach,i think the,3,1
good team,i think they will be a good,3,1
"of course , they have one of the best players in the world in ronaldo along with pepe , silva , and mario",i think is the best,1,1
it 's hard to say but my guy says yes,"yes ,",1,1
"no , but they won the european championship in 2016",they have won the world cup,5,1
what he was improve \?,they have won the world cup,5,1
i think they have a good chance but it will be hard,i do n't think they will be a good,4,1
yes he is croatia 's best player and their captain,"yes , they",3,1
"do you think your team is the toughest among all other team \? yes , we are the great competitors among all",they have a good,3,1
"no , i think he 's getting tired of some of his teammates over at man u",i think they have a,3,1
how do you think they 'll fair in the epl this season \?,i think is the best,1,1
"croatia has never won the world cup , still , for the size of the nation they have out performed what would be expected of a similarly sized country","yes , they have they won the world cup",3,1
they have great players starting with pogba,"i , i think",2,1
juega luka croatia,the is the coach,1,1
paul pogba is my favorite because he 's very good,i is the,1,1
i think the chelsea is overrated because the chelsea team earns few titles a year,i think they,3,1
es genial su juego croatia,i think is a good,1,1
luka modric,i is,1,1
i consider them over rated,i think is a team,1,1
man u are leaking talent right now,i do you think they will win the world cup \?,2,1
since 2012,he is,2,1
they 're 1st in their league right now,i think,2,1
antonio conte,the is the best,1,1
andres guardado \( captain \),the captain is the captain,1,2
diego costa,i is,1,1
"as one of the biggest clubs in portugal , they almost always challenge for the title",i think the,1,1
not really if you consider germany 's performance,they have a great,3,1
"not sure , but salah is better",i think will be a good,1,2
"yes , they are a team to keep an eye on",i think they are the,3,1
no they are very average and were expected to get through the qualifying group,i think they,3,1
"salah , henderson and mane",i is the,1,1
fc porto currently compete in the primeira liga,sergio conceicao,5,1
"salah is a good player , lots of potential",i think they will win the,3,1
i think finishing in round of 16 was expected,"yes , they have a",3,1
who is sarah \?,i think is the best,3,1
fc porto is a soccer team that recently competed against the chaves,i think,2,1
for 2022 they will need an overhaul messi is done for good,i think will be they will be a good,4,1
argentina will always be winners,i think they will be a good,4,1
what league belongs manchester united,i think is the best,1,1
"in the premier league era , yes , he 's been the most successful","no , i think",2,1
i think 2018 was his last chance to win the world cup he will be too old in 2022 to play at the level he plays now,i think is the best,1,1
with their history and achievements they are one of the best in the world,"yes , they",3,1
it has been debated that they should get rid of players who do not have the right mentality,i think they have a,1,1
maybe luis enrique,the coach is the coach,1,1
i think he will retire from international play by 2022 \( there is no 2020 world cup \),"yes , they have a they chance",2,1
he did in 1996,"i , they",1,1
2014,i,1,1
they are 7th in the premier league,they have a good,3,1
4 times,they,1,1
do n't you think they are a bit over rated \?,i think they are a,3,1
not this year,"yes , they have a",3,1
not very good after getting knocked out of the 2018 world cup in the group stage,i think is the,2,1
"yes , they beat both england and brazil in the last world cup",they have they have a chance,1,1
hes name is estadio metropolitano,sergio conceicao,5,1
i feel that they must have a better defense,they have a a chance,4,1
"red , blue and white",sergio conceicao is the best,4,1
"i think that although they are both soccer , they are very different",i think they will be the,3,1
"i agree , belgium will not win the next world cup",they are they the the,3,1
una is their boss,i is is the,1,1
london is a beautiful city,who is is the best player \?,5,1
arsenal is a great team from spain,they have a have a chance to win the world cup,5,1
what has the nfl got to do with football \?,i think they,3,1
i think they could win in the next season because they are very good team and they have good players,"no , they have a chance",3,1
they 've been average in past few seasons,i do n't think they have a good,3,1
insanely many,he is a,1,1
i would think so they usually have a strong team,"yes , they have a good",3,1
garete bale,diego simeone,5,1
i am not such a fan of arsenal but i like them more than mexico,i do you think they are a good \?,4,1
romelu frmo belguim is the man,the is the best player in the world,3,1
gareth bale is my favorite,the is the the best player,3,1
yes he is a belgum 's best player \?,he is is the best,4,1
my favorite player of real madrid is sergio ramos,i think the,1,1
eden hazard,i think the the best,1,1
most of croatia 's players are excellent !,i is is the,1,1
how many saves has he made \?,i think is the best,1,1
hugo sanchez marquez,i is is the best player,2,1
i think the need to play a more structured european game,i think they,2,1
"yes , they 're one of the most successful clubs in europe lots of players want to play for them","yes , they",2,1
1930,they will win the world cup,3,1
"yes , he is a goal keeper",he is is the best,3,1
yes !,they are a good,4,1
i think belgium need to do more to be successful on the international stage,i think is the best,1,1
have no idea,diego simeone is the captain,5,1
i wish them luck,i think they,2,1
stephan lichtsteiner is their new captain,i think is the,1,1
"switzerland has now been to the finals , so yes they will be more prepared",i think they will be a better than,2,1
what does mexico need to win the next world cup,they have the the the last world cup,3,1
when have they been the top team \?,they are a good,3,1
49 points after 23 39 wins,they have won the world,3,1
i think they need to work on their tactical and finishing skills,i think they are the best,3,1
no they never have,they have won the world cup,3,1
why are mexico not a more significant force in football \?,i is is the,1,1
"fc porto is ok , but arsenal is the best",i is is the,1,1
i do n't think so,"yes , they",1,1
estadio azteca,i think,1,1
"no , i do n't think they could have won it no matter the draw they pulled",i think they have a good,3,1
"i do not have a second team , only one and it is porto",i think is a good team,1,1
do you have a second favourite team \?,i is is the best,1,1
they are doing well considering that their national league is not that strong,i think is the,1,1
i was sad to see them lose to sweden this past world cup,i do you think they are a good team \?,2,1
the defense and the goalkeeper are very much mutually,"yes , they have",1,1
france has a very effective defense working in their favor at the moment,they have a good team,3,1
can france win back to back world cups,i think they are the the best,3,1
senegal was dominate in the regular season,i think the,1,1
italy has a chance but it will take a lot of work,i think they will be a good,3,1
rui patricio is 30 years old,he is is the,1,1
if you fight to achieve it you can win,i think they,2,1
rui patricio,i is is the the best,1,1
not at all ! france deserved that win for sure they were the best team in the whole tournament,"yes , they have a they chance",2,1
portugal plays in europe not south america,i is is the best,1,1
i do not think it 's possible,they have they have a chance to win the world cup,3,1
"yes , if i like soccer",i do not like them,5,1
4,they have won the world cup,5,1
"yes , but i wanted croatia to win because they were underdogs","no , they have a chance",5,1
2006,italy won the world cup in 2006,5,1
i dont care for any south american teams,i do you think they are the best,1,1
you mean their not there,what is the team \?,2,1
"it could help them score more goals , but it could also affect their focus on defense",i think is the,1,1
jurgen klopp is their manager,roberto mancini is the current coach,5,1
it fact it 's one of the most diplomatically active and neutral countries they are hosting many summits and helping other parties to solve their hot conflicts but in football they need a bit more aggression i think,he is a good,3,1
"yes , they won several world cups",i think is the best,2,1
"at the end of the season , the team that lifted the most major trophies",i think,2,1
i do n't know if the team is really impacted by military politics,i think is the best,2,1
yes it was sad,i think they have a,2,1
marius wold obvi,the is the best player,2,1
in my opinion it is the liverpool for having reached the final of the champions,i is is the best,1,1
no,i think the best,2,1
its manuel neuer the germany goalie,the is the the best,1,1
i do n't see a problem with it,"yes , they are a good",3,1
i think the same a penalty but we will see for the eurocopa \?,they have a good,3,1
"liverpool was n't first , manchester city was this means manchester city is a better team than liverpool",i is is the best,1,1
what players are you keeping your eyes on \?,i do you think they are a good team \?,1,1
mine equal,i think,2,1
what are the team 's colours \?,i think they will be the,2,1
fantasy football is very boring,i think is a team,1,1
"yes , if i prepare",i think is the best,1,1
"you can always look it up ! , who is your favorite player from dortmund \?",i think they,1,1
borussia dortmund injury update heading into the international break,"yes , they have a",2,1
who is the best manager brazil has had \?,they are a good team,3,1
it seems very good to me as they transmit the games,i think,2,1
if neymar is good,he is a very good player,5,3
they have as good a shot as anyone else injuries can happen and place any team in the back,they will do not they,1,1
some of these questions are really just answers and i do not know how to answer an answer properly,i think,2,1
"neymar is good , he has been compared to pele before",i think is the best,1,1
what about bvb dortmund \?,"yes , they have a good",3,1
they are a very strong team,i is is the best,1,1
1960,i think,2,1
brazil is always a powerful team who is your favorite player \?,i think they are a good,3,1
senegal has a chance to be the winner for the next african cup,they have they have a chance to win the world cup,1,1
i think senegal is known as part of africa,they are the the best,1,1
q5 is not a question so i ca n't answer,i is is the,1,1
they are creeping up the ranks,"yes , they have a good",3,1
probably a few,i think they,1,1
what does senegal mean \?,i think they are the the best,1,1
what does the end of the euro have to do with portugal football \?,they have a good,2,1
nigeria has a decent record,i think is a good,1,1
bayern munich for sure,he is a very good,3,1
what was nigeria 's record last season \?,i is is a team,1,1
it is marcus reus,i think is a,1,1
no they reached the semis in 1966 and 2006,"no , they have won the world cup",4,1
they are one of the best sides in africa,he is,2,1
eventually,"no , they have a chance",3,1
schalke bayern and gladbach are three of their biggest rivals,i think,2,1
africa,they are,3,1
so am i,they have a good,3,1
"yes , it 's not looking good for france i suspect belgium may wipe the floor with them",they have won the world cup,5,1
not that i'm aware of any,"yes , they have a",2,1
hannes thor halldorsson,i think,2,1
top player for france has to be kylian mpabbe,i is is the best player,1,1
they need better youth players,i think they have a,1,1
of course they exist,"they have a , they have a chance",1,1
no i personally dont think he is,he is a good,4,1
i think france will do well they have the aggressive offense that will take them to the finals,they have a good,3,1
"maybe not yet , they should train",i think they will be a good,3,1
raphael adelino jose guerreiro is portugese,i think,2,1
excellent team to watch play,they have a a chance,3,1
"they have one british player , jadon sancho","yes , they are a",2,1
they have plenty of players,he has scored yellow goals,3,1
they 're a small country but a good team,i do you think they will win the world cup \?,1,1
"the france national football team represents france in international football and is controlled by the french football federation , also known as fff , or in french",they are not a good,3,1
yes scaloni is the boss,the is the best,1,1
who is argentina 's coach \?,i is is the best,1,1
lukaku does not play for chelsea he plays for manchester united !,he is is the best player,3,1
"by far , christian pulisic",i is,1,1
who is argentina 's best player of all time \?,i think the best,2,1
they do it as required,they have a good,5,1
what do you mean \?,"yes , they",3,1
they have won more premier league titles than liverpool,he is a,3,1
bad,the is the best player,1,1
zlatan is best player in sweden,i is the,1,1
"i think petr cech , but i'm not sure",i think,2,1
"he used to , but he 's retired now","yes , he is",2,1
"i think he is more talented than ronaldo , but need more leadership skills",i think is a great player,1,1
sweden was in 3rd place at the world cup 1994,i think is the best,3,1
lionel messi is the best player on argentina,the best player,1,3
"based on last season , liverpool finished in a higher league position than chelsea",i is,1,1
"not really , no , they fell behind last season , but they have an opportunity to be the best in the league this season",i is is the best,1,1
they finished 3rd,they have won the world cup,3,1
this is not a question that can be answered,what is the team \?,1,1
chelsea won 3 0 on saturday,he is a is a great player,2,1
they are indeed so far behind,i think is the best,1,1
yes it should be rather easy path to qualifications,i think they will be a good,3,1
they will get back to being good,he is a good,5,1
cavani,he is the best,5,1
"no , roman abramovich is a businessman and he has never played football professionally himself","yes , he is a good",5,1
he has let too many good players get away,i think,2,1
but you cannot say that suarez is not talented,i think is the best,2,1
did roman abramovich play for chelsea at one point \?,i think is a great team,1,1
they have won it 27 times,they have won the world cup,5,1
chelsea are cool but their owner is a crazy person,i think they,2,1
roman abramovich,i think,2,1
uruguay are good but i do n't like suazrez,i is is a team,1,1
their last time was 2002,they won the world cup,3,1
niko kovac is the current manager,the is the coach,4,1
"brazil has always had excellent players , albeit one",i think is the best,1,1
they could if they knew how to play,i think they,3,1
they are placed 2nd,the is,1,1
france in the best team,i is is the best,1,1
for me it was lewandowski the best of the bayern,i is is a good,1,1
who is the best team,i think,2,1
what will happen to brazil when all of their high caliber players retire \?,i think is the best,1,1
barcelona,they have a,3,1
will lionel messi win a world cup with argentina,they have won the world cup,3,3
bayern munich is the best team in the bundesliga,they have won the,2,1
how good is brazil \?,i think is the best,1,1
i thought it was great because the teams were not what everyone expected this year,they have a,3,1
what was their most humiliating defeat \?,i think is the best,3,1
brazil is my favorite team because they have some great players,i do you think they will win the world cup \?,1,1
who is the top player today \?,i think they will be a good,3,1
i think he will do very well,i think is the best,2,1
real madrid has some good players,i do n't think they have a good,3,2
their starting goalkeeper did get injured right before the last world cup,i think they,3,1
if i missed him for everything that led me to madrid,i think the,1,1
real madrid will miss navas ! courtois will struggle with real madrid,i think is the best,2,1
messi is on the ball right now,i is is the best player,2,1
anybody can be replaced,i think they,2,1
what colour is argentina 's kit,i think they will be a good,3,1
brazil might have become overconfident,i do you think they will win the world cup \?,3,1
