302U8RURJ0D7AJ3B0C9M5NZLDDFNVF,what year was ac milan founded \?,1899,founded on,1899
302U8RURJ0D7AJ3B0C9M5NZLDDFNVF,what position does he plays in \?,he is the goalkeeper,position,goalkeeper
3D1TUISJWJCFJ33KY6MP4T1LD7DIU6,when it was the las cup that germany won \?,in 2014,world cup champions,2014
31KSVEGZ354546V8JTVZ09N9LJ7RWI,who is the belgian coach \?,roberto martinez,coach,roberto martinez
3I01FDIL6NKPRGEWN8B87DQH3AI2D3,who is the coach for iceland \?,erik hamren is the coach,coach,erik hamren
3LG268AV39IBN69HYT1TE3GAFEZERN,what is the capacity of that stadium \?,99354,capacity,"99,354"
37YYO3NWHE2SK60KK553ZKHKT2LCCN,who coaches this team \?,aliou cisse,coach,aliou cisse
3TRB893CSKMZP1LTVATB9PALO90G70,who 's the captain of the liverpool coach now \?,i think it 's jurgen klopp,coach,jurgen klopp
30ZKOOGW2XIK4OTOKUKSCT85P29A1T,who is italy 's current manager \?,roberto mancini,coach,roberto mancini
3EN4YVUOUD43VIHLLTIC01FPK4IJXA,who is the current manager for ac milan \?,gennaro gattuso is the current coach of ac milan,coach,gennaro gattuso
3TKXBROM5UM65NSQM7IBXRSAWREJIA,how many world cups has brazil won \?,"brazil has won the world cup 5 times 2002 , 1994 , 1970 , 1962 , 1958",number of world cup champion,5
3DGDV62G7PLYGDHMSH237775GUNP25,who is the goal keeper of arsenal david ospina,cech is still arsenal 's number 1,has player,Petr Cech
3O4VWC1GEXIRFKA714BOTLQLD9IJ3B,have they ever won the world cup \?,"yes , twice once in 1978 and again in 1986",number of world cup champion,2
3P4ZBJFX2WF81GQZSYV5JK9RJUSWFP,whi is the head coach of switzerland \?,vladimir petkovic is the switzerland team manager,coach,vladimir petkovic
3J6BHNX0UA4TU89Z18VF3EO4V5MKNI,what is the closest sweden have come to winning the world cup \?,1958 runners up,world cup runners-up,1958
30P8I9JKOJX3KUX5WCD0B6ZZMSG5V8,who is bvb dortmund 's manager \?,lucien favre is borussia dortmund 's manager,coach,lucien favre
3YKP7CX6G3R3YKDIFO1X8EJOA6V7BJ,which famous players play for paris sg \?,"neymar , most famously",has player,neymar
3TY2U1TEB8M20YCW4P3B9S7A963JJM,who is iceland 's goalie \?,their goalie is hannes thor halldorsson,goalkeeper,hannes thor halldorsson
3IJ95K7NDYOOSMDGBHA05MWBQYSGNK,who is the head coach of the belgium team \?,roberto martinez montoliu is the coach of belgica,coach,roberto martinez
30QQTY5GMLWIUJMOFFISD4BCZR37U1,in what year was the fc porto team founded \?,i think its in the year 1893,founded on,1893
3J5XXLQDHNN06FA1ITP7W91F8WO3VF,who is germany 's coach \?,joachim low is the coach for germany,coach,joachim low
33KMQD9OFKQGW8AS27PH3CXSRG577Y,what is the color of their jersey \?,atletico 's home kit is red and white,jersey color,red and white
36FQTHX3Z43LX1CVDCY7VX796363B8,whos is the manager in bcn \?,ernesto valverde is the coach,coach,ernesto valverde
33KMQD9OFKQGW8AS27PH3CXTSF177V,is he the captain of uruguay national team \?,diego godin is the captain of uruguay national team with the most caps,captain,diego godin
3W0XM68YZQ7QG12AWLXH67B1UE3K1I,who is the head coach for sweden \?,janne andersson is the coach,coach,janne andersson
3X7837UUAEAQC3XPK69M0O26OZH6J2,what is the chelseas new coach \?,maurizio sarri,coach,maurizio sarri
3R6RZGK0XGO1MI7P7EIXM3XTIWGVYB,who is the current head coach for switzerland \?,vladimir petkovic,coach,vladimir petkovic
3F6045TU7E0OOAMEW1LLV4F4HWG99N,who is their goalkeeper \?,david ospina,goalkeeper,david ospina
3WGZLY9VCIY0DVGL3PK9H43JM1QD8A,has uruguay ever won the world cup \?,"uruguay have won 19 fifa titles , 2 world cups",number of world cup champion,2
3WGZLY9VCIY0DVGL3PK9H43JM1QD8A,when was the last time uruguay won the world cup \?,1950,world cup champions,1950
3D06DR5226VH0DFDDG3QWLW8ND4MAD,who is spain 's coach \?,spain 's coach is enrique,coach,luis enrique
3CRWSLD91LG62H9ENZ88XGGDCU8MOC,how many world cups did argentina win \?,argentina have won 2 world cups,number of world cup champion,2
3E24UO25Q024DEOM0J1R8KJRMUU6ON,who is their manager \?,joachim low,coach,joachim low
3IZVJEBJ6BWGCI2T2SC8OIQV6YWZ6H,dortmund was founded when \?,December 1909,founded on,1909
3SZYX62S5HC194W9EEAK5SJW0A957G,what was the year argentina won the world cup \?,1978 and 1986,world cup champions,1978
31KSVEGZ354546V8JTVZ09N9LJ8RWJ,what is the name of the swiss captain \?,stephan lichtsteiner,captain,stephan lichtsteiner
3O2Y2UIUCR6H6GWI3KC2V9FVVOOFKG,who is the goalkeeper for senegal \?,the goalkeeper of senegal is Abdoulaye Diallo,has player,Abdoulaye Diallo
3LN3BXKGC17EFGMU3I1N1593K9SWGO,how many wc win by senegal \?,0,number of world cup champion,0
3ZQA3IO31C396SNPUDPADOSAEJDO16,what is the name of sweden 's goalie \?,robin olsen is their goalie,goalkeeper,robin olsen
3RIHDBQ1NFAWA0NRJMDID7JD17SMHN,what are chelsea 's team colors \?,they play in blue,jersey color,blue
3BFF0DJK8YOPD4RR3DQT3ZL63R7STG,who is the bvb dortmund goal keeper \?,Roman Burki is the main keeper,has player,Roman Burki
3B623HUYJ526FKZ30FFYC3PJPENS8S,chelsea flag what i color \?,the chelsea team wears blue their logo looks like a lion,jersey color,blue
