original_response_(S1),predicted_response_(S2),Grammatically_correctness_of_S2 (scale 1-5),Similarity_between_S1_and_S2_in_terms_of_meaning_and_provided_info (scale 1-5)
their nickname is the red devils,i think is the best,2,1
2nd,i think they have a good,3,1
manchester city or liverpool this season,i think they have a good,3,1
manchester united might win,"yes , they have a good",3,1
it was more than just one player the team effort is what counts,"yes , they have a good",3,2
yes,i think they have a good team,2,1
they always finish fourth,i think they have a good team,2,1
what stadium does arsenal play in \?,i think they have a good,3,1
sport galleries,"yes , they have a good",3,1
i think he would face liverpool,"yes , they have a good",3,1
64 goals,i think they have a good team,3,1
pierre emerick aubameyang,i think they have a good team,3,1
"no , because they are a club team",i think they have a good,3,1
the best goal was the one that scored aubameyang,"yes , they have a good",2,2
roman burki was the starting goalie,"yes , they have a good",2,1
who is their current manager \?,i think they have a good team,3,1
if he is the current chelsea coach,i think is the best,2,2
what is italy 's couching staff like now \?,i think is the best,2,1
"yes , all coaches are well paid",i think is the best,2,1
lorenzo insigne,"yes , they have a good player",5,3
it 's hard to say but my guy says yes,i think they have a good team,5,1
i'm sure it 's a lot of time,i think they have a good,3,1
mention the goalkeeper of brazil,i think they have a good,3,1
alisson becker also plays for liverpool,"yes , they have a good",3,2
belgium,"yes , they have a good",3,2
good team,i think they have a good team,5,5
i think portugal has the better players but mexico works better as a team,i think they have a good team,5,3
i think that portugal would win tighly,i think they have a good team,5,2
"yeah , he 's their top scorer and captain",i think they have a good,3,2
would they be significantly crippled without him though \?,i think they have a good,3,1
"of course , they have one of the best players in the world in ronaldo along with pepe , silva , and mario",i think they have a good team,5,3
just not good enough to progress far in the world cup,i think they have a good,3,2
"do you think your team is the toughest among all other team \? yes , we are the great competitors among all",i think they have a good,3,2
what he was improve \?,"yes , they have won the world cup",5,1
"no , but they won the european championship in 2016","yes , they have a good",3,1
luka modric,i think they have a good team,5,3
es genial su juego croatia,i think they have a good team,5,3
juega luka croatia,i think is the best,2,1
"croatia has never won the world cup , still , for the size of the nation they have out performed what would be expected of a similarly sized country",i think they have won the world cup,5,3
yes he is croatia 's best player and their captain,"yes , they have a good",3,3
man u are leaking talent right now,i think,1,1
paul pogba is my favorite because he 's very good,i think,1,1
they have great players starting with pogba,i think they have a good,3,3
"no , i think he 's getting tired of some of his teammates over at man u",i think they have a good,3,1
i think they have a good chance but it will be hard,"yes , they have a good",3,3
i consider them over rated,i think they have a good team,5,1
i think the chelsea is overrated because the chelsea team earns few titles a year,i think they have a good team,5,3
how do you think they 'll fair in the epl this season \?,"yes , they have a good",3,1
"salah , henderson and mane",i think they have a good,3,2
diego costa,"yes , they have a good",3,2
antonio conte,"yes , they have a good",3,2
who is sarah \?,i think they have a good team,5,1
"salah is a good player , lots of potential",i think they have a good team,5,2
"not sure , but salah is better","yes , they have a good",3,2
fc porto is a soccer team that recently competed against the chaves,i think,1,1
fc porto currently compete in the primeira liga,i think is the best,2,1
andres guardado \( captain \),"yes , they have a good",3,2
"yes , they are a team to keep an eye on",i think they have a good team,5,1
"as one of the biggest clubs in portugal , they almost always challenge for the title",i think they have a good,3,1
they 're 1st in their league right now,"yes , they have a good",3,1
i think finishing in round of 16 was expected,i think they have a good team,5,1
no they are very average and were expected to get through the qualifying group,i think they have a good,3,1
