original_response_(S1),predicted_response_(S2),Grammatically_correctness_of_S2 (scale 1-5),Similarity_between_S1_and_S2_in_terms_of_meaning_and_provided_info (scale 1-5)
you re welcome,you re welcome,5,5
anytime,you re welcome,5,5
sending you direction now,i sent the route to the route,3,4
no problem,you are welcome,2,5
in manhattan it will be stormy on wednesday and thursday,the weather forecast for in new_york,3,1
it is between 50f - 70f in new_york right now,the temperature in will be be 40f - 40f 90f,2,1
starbucks at 792_bedoin_street is 3_miles away with no_traffic,coupa is located at 792_bedoin_street,5,1
you are welcome,you re welcome,5,5
anytime,you re welcome,5,5
durham does not have any snow predicted this week,it will not be snow in in in,2,3
in what city are you interested,what city do you want the weather for,4,4
your appointment is for tuesday at 11am,your next is on the_3rd at 1pm,1,1
in los_angeles it is gonna be warm on tuesday,it will not be warm in in in,3,3
for which time period did you want weather information,what city are you the weather for,1,3
what city do you want the weather for,what city do you want the weather for,5,5
the closest coffee place is coupa but there is heavy_traffic would you like a different location,there is a starbucks away,4,2
you re very welcome,you re welcome,5,5
you re welcome,you re welcome,5,5
navigating to stanford_express_care at 214_el_camino_real there is heavy_traffic on the way there however,setting navigation to 578_arbol_dr now,3,1
no problem,you re welcome,5,5
i m here to assist you,you re welcome,5,1
the current route is the fastest one i can find,i sent the route to 436_alger_dr,2,2
stanford_express_care is on the way,hotel_keen is the_westin is away,3,1
you re welcome,you re welcome,5,5
this week in manhattan the temperature will range from 20f to 100f,the temperature in will be manhattan be 80f - 40f 90f 60f - 100f 40f,3,2
in los_angeles it will rain today and be 40f - 60f tomorrow it will be warm and 60f - 80f,it will be today in overcast in rain on tuesday,2,3
teavana is 5_miles away at 145_amherst_st with moderate_traffic,there is starbucks nearby,5,1
what city are you in,what city do you want the weather for,5,3
what location should i look up the weekly forecast for,what city do you want the weather for,5,3
there aren t any cloudy days in the forecast for inglewood,it will not be in in in,3,1
there is no starbucks locally,there is starbucks nearby,5,1
you are playing tennis on 11am friday,your next is is at 1pm 7pm,1,1
you are welcome,you re welcome,5,5
navigation set have a great day,navigation set to the_westin,5,5
you re welcome,you re welcome,5,5
you re welcome,you re welcome,5,5
you are most welcome,you re welcome,5,5
the_westin is at 329_el_camino_real do you need me to set the navigation,the_westin is at 578_arbol_dr,5,1
you re welcome did you also want to know the agenda for the meeting,you re welcome,5,2
it will be stormy in camarillon on friday,there will be no be foggy in in,2,1
it should not be hot in brentwood this week,it will not be hot in in in,3,3
in seattle there is snow right now,it will be hail in in in,3,4
taking you to chevron,there is 53_university_av on the route to 91_el_camino_real,5,1
the_westin is 4_miles away with moderate_traffic will that help,hotel_keen is the_westin,5,2
your next meeting is with your boss at 10am in conference_room_102,your next is is at 1pm at 4pm,1,1
what city do you want to hear the forecast report from,what city do you want the weather for,5,5
what city are you inquiring about,what city do you want the weather for,5,4
there is a chevron,there is a valero chevron,5,5
you re welcome glad i could help,you re welcome,5,5
the highs for boston this weekend are in the 90s while the lows are supposed to be 70s,you re welcome,5,1
you re welcome have a great day,you re welcome,5,5
you re welcome,you re welcome,5,5
you re welcome happy to help,you re welcome,5,5
783_arcadia_pl is the address for chevron gas_station,783_arcadia_pl is at 200_alester_ave,5,4
no it s not forecast to snow in corona today the forecast is humid with a low of 70f and a high of 90f,there is no in the forecast for,1,1
this week in seattle the weather is forecasted to be overcast cloudy windy foggy drzzle warm and dry,the temperature in will be seattle be 40f - 40f 80f 80f 40f - 40f 100f,3,1
you are welcome,you are welcome,5,5
happy to help,you are welcome,5,5
palo_alto_medical_foundation at 611_ames_ave is 4_miles away but there is no_traffic on the way setting navigation now,stanford_childrens_health is is away at 214_el_camino_real,2,1
yoga is with alex at 11am,you have two scheduled one on jon at 3pm with tom and one on alex at aunt with jeff,5,2
your swimming_activity is on the_5th with your father,your next doctorappointment is on monday at at 1pm,5,1
the temperatures in seattle will be high this week and the hottest days will be monday and tuesday with 100f ( but pay attention it s gonna rain too ),it will not be hot in in,2,2
where would you like to know if it will snow,what city do you want the weather for,5,1
for what day would you like to know,it will be 80f in be 80f in 60f,4,1
cafe_venetia is located at 269_alger_drive with heavy_traffic is that going to be okay,the address is 792_bedoin_street 583_alester_ave,5,1
you re welcome and have a great day,you re welcome,5,5
you re welcome,you re welcome,5,5
directing to 5672_barringer_street now,i sent the route to 436_alger_dr,5,1
you are welcome,you re welcome,5,5
you re welcome drive safely and enjoy,you re welcome,5,5
