original_response_(S1),predicted_response_(S2),Grammatically_correctness_of_S2 (scale 1-5),Similarity_between_S1_and_S2_in_terms_of_meaning_and_provided_info (scale 1-5)
it is between 50f - 70f in new_york right now,the current temperature in new_york is predicted to be a blizzard,2,1
sending you direction now,i sent the info on your screen drive carefully,4,3
durham does not have any snow predicted this week,it will not snow in durham in,3,3
for which time period did you want weather information,what city are you interested in weather for new_york,2,3
starbucks at 792_bedoin_street is 3_miles away with no_traffic,there is no_traffic to coupa,2,2
the closest coffee place is coupa but there is heavy_traffic would you like a different location,there is coffee away from starbucks,1,2
you are welcome,you re welcome,5,5
no problem,it is not predicted to be awesome in new_york,1,1
in manhattan it will be stormy on wednesday and thursday,it will not be stormy in manhattan over the next 7 days,3,2
in what city are you interested,what city are you interested in,3,5
your appointment is for tuesday at 11am,your doctorappointment is at 1pm,3,2
in los_angeles it is gonna be warm on tuesday,it will not be warm in los_angeles this week,3,3
what city do you want the weather for,what city are you interested in,4,3
you re welcome,you re welcome,5,5
anytime,you are welcome,5,5
anytime,you are welcome,5,5
what city are you in,what city are you interested in,4,2
there aren t any cloudy days in the forecast for inglewood,it will not be cloudy in inglewood next_week,3,3
you are playing tennis on 11am friday,your tennis playing is scheduled at 7pm,3,2
i m here to assist you,you are welcome,5,5
this week in manhattan the temperature will range from 20f to 100f,it will not be in in in in manhattan,1,2
in los_angeles it will rain today and be 40f - 60f tomorrow it will be warm and 60f - 80f,today in los_angeles is predicted to be cloudy tomorrow,1,2
you re welcome,anytime,5,5
no problem,you re welcome,5,1
stanford_express_care is on the way,the four_seasons is 4_miles away and hotel_keen 6_miles away,3,2
navigating to stanford_express_care at 214_el_camino_real there is heavy_traffic on the way there however,the is is the four_seasons and there is no_traffic on the route to the quickest route,3,1
the current route is the fastest one i can find,the is welcome,1,1
what location should i look up the weekly forecast for,what city are you interested in,3,3
there is no starbucks locally,the nearest starbucks is 1_miles away at 792_bedoin_street,4,2
teavana is 5_miles away at 145_amherst_st with moderate_traffic,there is no starbucks nearby philz,4,1
you re welcome,you re welcome,5,5
you re very welcome,you re welcome,5,5
your next meeting is with your boss at 10am in conference_room_102,your meeting is at 3pm at 1pm,2,2
it will be stormy in camarillon on friday,it will not be foggy on friday in camarillo,3,3
it should not be hot in brentwood this week,it will not be hot in brentwood brentwood this week,2,3
what city do you want to hear the forecast report from,what city are you interested in,4,3
you re welcome did you also want to know the agenda for the meeting,you are welcome,5,4
you are welcome,you re welcome,5,5
you re welcome,you re welcome,5,5
you re welcome,you are welcome,5,5
the_westin is 4_miles away with moderate_traffic will that help,the comfort_inn is 6_miles away at 333_arbol_dr and there is no_traffic on our way,1,2
taking you to chevron,there is no_traffic to chevron,1,3
in seattle there is snow right now,there is no hail in right now right now,2,1
the_westin is at 329_el_camino_real do you need me to set the navigation,the_westin is at 578_arbol_dr,1,3
what city are you inquiring about,what city are you interested in,3,3
there is a chevron,chevron is gas_station is gas_station at away,1,3
navigation set have a great day,you re welcome,5,1
you are most welcome,you re welcome,5,5
the highs for boston this weekend are in the 90s while the lows are supposed to be 70s,you re welcome,5,1
yoga is with alex at 11am,your yoga_activity is at 3pm at 7pm with with your at,3,3
the temperatures in seattle will be high this week and the hottest days will be monday and tuesday with 100f ( but pay attention it s gonna rain too ),it will not be hot in boston this weekend,3,1
you re welcome glad i could help,you re welcome,5,5
for what day would you like to know,what city are you interested in,4,3
783_arcadia_pl is the address for chevron gas_station,valero is at 200_alester_ave and there is no_traffic on our way,1,2
you re welcome happy to help,you re welcome,5,5
you are welcome,you are welcome,5,5
palo_alto_medical_foundation at 611_ames_ave is 4_miles away but there is no_traffic on the way setting navigation now,stanford_express_care is located at 214_el_camino_real,1,2
your swimming_activity is on the_5th with your father,your have two is scheduled one at at,1,1
this week in seattle the weather is forecasted to be overcast cloudy windy foggy drzzle warm and dry,it will not be in seattle this week,3,1
no it s not forecast to snow in corona today the forecast is humid with a low of 70f and a high of 90f,it will not snow in corona corona corona,3,3
where would you like to know if it will snow,what city are you interested in,3,1
you re welcome have a great day,you re welcome,5,5
you re welcome,you are welcome,5,5
happy to help,you are welcome,5,5
the quickest route is 347_alta_mesa_ave at 5_miles we will be there shortly,you re welcome,5,1
directing to 5672_barringer_street now,you re welcome,5,1
the only route has heavy_traffic is that alright,you re welcome,5,1
here are directions to 5672_barringer_street,there is a starbucks 1_miles away,4,1
jill s house is located 5_miles away at 347_alta_mesa_ave,the nearest is away is away away at away,1,1
you are welcome,you re welcome,5,5
you re welcome,you re welcome,5,5
you re welcome and have a great day,you re welcome,5,5
cafe_venetia is located at 269_alger_drive with heavy_traffic is that going to be okay,the address is 792_bedoin_street,3,3
today you have a 7pm meeting with hr to discuss_the_merger,your have is scheduled for today,1,1
there is no starbucks close but there is two others one is coupa that is 6_miles away and the other is cafe_venetia which is 3_miles away which one do you want,there nearest starbucks is 1_miles away,3,2
peets_coffee also serves tea they are 2_miles away at 9981_archuleta_ave,the closest tea is teavana is 6_miles away,3,1
displaying directions now,i sent the info on your screen drive carefully,5,1
you re welcome drive safely and enjoy,the is welcome,1,3
moderate_traffic is listed to peets_coffee,the closest is philz is philz,2,1
you are welcome,you are welcome,5,5
there is coupa located at 394_van_ness_ave there is moderate_traffic but you re just 6_miles away,there is no_traffic to starbucks,3,1
setting gps for quickest route to valero gas_station now,you re welcome,5,1
i do not have info on the local starbucks but i do see another coffee place would you like to hear info on it,starbucks is 1_miles away,5,2
i sent the info on your screen drive carefully,you re welcome,5,1
valero is located at 200_alester_ave,you re welcome,5,1
the nearest gas_station is located 5_miles away need more info,the nearest gas_station is gas_station at away 200_alester_ave,3,2
you re welcome glad i could help,you re welcome,5,5
you re welcome,you re welcome,5,5
the address is 792_bedoin_street i sent the info on your screen drive carefully,you re welcome,5,1
taking you home,the address is 792_bedoin_street,3,1
we re 5_miles away from starbucks would you like to go there,the nearest cafe is 1_miles away would you like directions there,3,1
what city would you like the forecast for,what city are you interested in,3,3
you re welcome,you re welcome,5,5
it will be dry today snowy on tuesday dew on wednesday warm on thursday misty on friday snow on saturday and cloudy on sunday in grand_rapids,it will not be grand_rapids in grand_rapids,2,3
you are welcome,you re welcome,5,5
navigating you to starbucks,you re welcome,5,1
got it will do,you re welcome,5,1
what city are you interested in,what city do you want the weather for,3,3
what city are you interested in,what city are you interested in,3,4
you re welcome i am always happy to help,you re welcome,5,5
home is 5671_barringer_street anything else i can help you with,the is is away away away away,1,1
the temperature in los_angeles this week reaches a low of 40f and the highest will be 100f,in los_angeles it will be cloudy on tuesday,1,3
the temperature in compton will be between 70f and 100f on monday and friday during the other days of the week it will remain between 30f and 70f,it will not be in compton in,1,3
you re welcome hope you have a great day,you re welcome,5,5
it will not be humid in fresno next_week,it will not be humid in fresno next_week,3,3
we re 3_miles away from chef_chu_s and 6_miles away from mandarin_roots,there is chinese_restaurant away away mandarin_roots,1,1
chef_chu_s is 3_miles away through moderate_traffic,there is welcome,1,1
chef_chu_s is closer,chef_chu_s is located at 593_arrowhead_way,3,2
you re very welcome,you re welcome,5,5
chef_chu_s is located at 593_arrowhead_way,chef_chu_s is located at 593_arrowhead_way,3,5
you re welcome,you re welcome,5,5
anytime,anytime,5,5
you have two meeting scheduled one at 4pm in conference_room_102 to discuss_the_company_picnic and one at 6pm in 100_conference_room to go over the quarterly report,your meeting is meeting at 1pm,5,3
it will not be windy in atherton in the next_few_days,it will not be windy in in in,3,3
for what city would you like to know that,what city do you want the weather for,4,3
it will be rainy the first half of the week and then foggy the second and dry over the weekend in compton,it is not gonna be warm in compton this week,3,2
your dinner reservation is at 5pm,your dinner is dinners at 7pm,2,3
you re welcome,you are welcome,5,5
you re welcome,anytime,5,5
you re welcome,you are welcome,5,5
pizza_chicago is 2_miles away,the nearest pizza_restaurant is round_table away 4_miles away,3,3
taking you to jack s house,jacks_house is at 580_van_ness_ave,3,2
i sent all the info on your screen drive carefully,setting gps to quickest route now,5,1
jacks_house is at 864_almanor_ln,tom s house is 6_miles away at 864_almanor_ln,3,1
could you please let me know what place i am looking up the data for,it will not be cloudy in,3,1
okay heading to pizza_chicago,gps set to quickest route now,3,1
the address is 915_arbol_dr would you like directions there,the address is 528_anton_ct pizza_my_heart is 4_miles away,2,2
anytime,you re welcome,5,5
it will be 80f on tuesday in brentwood,what will be be in in in in in,1,1
your meeting is scheduled for 2pm tomorrow the agenda is to discuss_the_merger,your meeting is meeting at 1pm,1,2
there are whole_foods 2_miles away and sigona_farmers_market 4_miles away where do we go,the closest grocery_store is willows_market which is 2_miles away,2,1
sigona_farmers_market is located 4_miles away with no_traffic it s located at 638_amherst_st,the is is away at,1,1
no problem my driver,you re welcome,5,1
great glad i could help have a great day we will be there soon,you re welcome,5,2
this week boston does not have any weather predictions of it being cloudy,it will not be cloudy in boston boston,3,1
you are welcome,you are welcome,5,5
your doctorappointment at 2pm your aunt will be going,your doctorappointment is on thursday at 3pm,4,2
all right navigating to panda_express at 842_arrowhead_way,navigation set to panda_express,4,3
the_4th at 1pm with tom the_10th at 9am with ana the_13th at 9am with your father the_5th at 2pm with alex and the_10th at 4pm with your sister,your have is on,1,1
i have a few chinese_restaurant listed which one would you like to know about,there is a away away mandarin_roots,3,1
yes panda_express seems to be the fastest,setting navigation to p_.f_._changs now,1,1
you re very welcome,you are welcome,5,5
happy to help,you are welcome,5,1
p_.f_._changs is 3_miles away but there is currently heavy_traffic on the route panda_express is farther at 4_miles away but there isn t any traffic,the is is away away away away,1,1
the weather in fresno over the next 48 hours will be cloudy with snow,what will be be be in in in in,1,1
what city should i find friday s temperature for,what city are you interested in,3,3
jills_house is located at 347_alta_mesa_ave,tom s house is 6_miles away at 864_almanor_ln,3,1
it will be between 20f - 30f in alhambra on friday,the temperature in alhambra is on tuesday,2,1
you re welcome,you re welcome,5,5
you re welcome,you re welcome,5,5
on friday there will be clear_skies in alhambra,in alhambra the temperature in alhambra is on tuesday low of 60f and high of 40f,5,5
you are welcome,you are welcome,5,5
certainly setting navigation details now there s a car_collision_nearby so take care on the roads,you re welcome,5,1
jon and jeff will be attending your tennis_activity,your tennis is on tuesday at 1pm,4,3
there isn t any rain predicted to fall in redwood_city this week,it will not be raining in redwood_city this week,4,2
midtown_shopping_center is the closest shopping_center to you would you like the address,the nearest mall is 1_miles away would you like the address,4,2
they will be there at 1pm,you are welcome,5,2
you are welcome,you are welcome,5,5
you re welcome,you re welcome,5,5
anytime,you re welcome,5,5
sending the address for the midtown_shopping_center at 338_alester_ave to your gps,gps is the quickest route to the address,3,1
did you want the current weather,what city are you interested in,5,3
