original_response_(S1),predicted_response_(S2),Grammatically_correctness_of_S2 (scale 1-5),Similarity_between_S1_and_S2_in_terms_of_meaning_and_provided_info (scale 1-5)
"i'm not sure but is it hernani jorge santos fortes, maybe?",who accompany the youngest player on the team \?,2,1
that is correct i agree with it,who may the youngest player on the team \?,2,1
fc. porto flag is what color ?,who may the youngest player on the team \?,2,1
f.c porto is a club and italy is a team,who accompany the youngest player on the team \?,3,1
no they didn't .,who,1,1
"no, portugal didn't  win the world cup, francia wins.",portugal win the world cup \?,2,2
yes they won the last europcup,portugal win the world cup \?,2,1
3-1,portugal win the last eurocup,2,1
i don't think they have a chance of winning,portugal win the last eurocup,4,4
i'd say portugal are within the top 10 of international football teams currently out there,portugal win the last eurocup,5,3
i thought it was great because the teams were not what everyone expected this year.,how did you like the fifa world cup 2018?,2,2
barcelona,how did you like the fifa world cup 2018?,2,1
who is the best team,how did you like the fifa world cup 2018?,2,1
france in the best team,how did you like the fifa world cup 2018?,2,1
they could if they knew how to play.,how did you like the fifa world cup 2018?,2,1
how the hell like bayern munich?,i completely love bayern munich,4,2
i like lewandowski because he scores lots of goals.,i completely love bayern munich,4,1
"it's nice to see bayern munich, but i think it's better thiago",i completely love bayern munich,4,2
"for sure, theyll have some competition from bvb but they should pull it off",i completely love bayern munich,4,1
"it is always difficult to lose to a rival, but if you can get your team qualified for the champions league, it takes away a bit of the embarrassment.",i completely love bayern munich,4,1
what is so good about them?,i really love the team paris sg,2,2
i would have to disagree with that statement. paris sg is not always dynamic.,i really love the team paris sg,3,1
"to have an excellent team, he commits some very serious things. they must improve",i really love the team paris sg,3,1
"yes i agree, mbappe will be very good",i really love the team paris sg,3,1
he is in his thirtys,i really love the team paris sg,3,1
"yes, i like uruguay.",like this team,2,2
luis suarez,like this team,2,1
they offense is fast acting though.,like this team,2,1
not as a starter anyways. he would be 35. i expect maxi gomez to take his place.,like this team,2,1
maxi gomez is 21 years old.,like this team,2,1
it sounds like a good way to spend a day!,i am getting belgium waffles then going to watch belgium soccerani soccerani soccer,3,3
no i don't.,i am getting belgium soccerani,4,1
yes. they're definitely a better team than the u.s.,i am getting belgium soccerani soccerani soccerents \?,4,1
"belgium has strong elements such as its stars eden hazard, romelu lukaku and kevin de bruyne, which should have us strength defense and technique",i am,1,1
belgiums stars are in their thirties.,i am getting belgium soccerani,4,2
one of the world's best.,is this a good team,2,1
"they have some of the best players in the world, but they don't overshadow how good the team is.",is this a good team,2,1
france vs brazil would be a good match but not germany,is this a good team,2,2
